;DIAS_U;DIAS_TOT;DIAS_NUTEIS;DIAS_U_C;PASCOA;CARNAVAL
set/15;21;30;9;-1,5;0;0
out/15;21;31;10;-4;0;0
nov/15;20;30;10;-5;0;0
dez/15;22;31;9;-0,5;0;0
jan/16;20;31;11;-7,5;0;0
fev/16;20;29;9;-2,5;0;0,210144928
mar/16;22;31;9;-0,5;1;-0,210144928
abr/16;20;30;10;-5;0;0
mai/16;21;31;10;-4;0;0
jun/16;22;30;8;2;0;0
jul/16;21;31;10;-4;0;0
ago/16;23;31;8;3;0;0
set/16;21;30;9;-1,5;0;0
out/16;20;31;11;-7,5;0;0
nov/16;20;30;10;-5;0;0
dez/16;22;31;9;-0,5;0;0
jan/17;22;31;9;-0,5;0;0
fev/17;19;28;9;-3,5;0;0,210144928
mar/17;23;31;8;3;0;-0,210144928
abr/17;18;30;12;-12;1;0
mai/17;22;31;9;-0,5;0;0
jun/17;21;30;9;-1,5;0;0
jul/17;21;31;10;-4;0;0
ago/17;23;31;8;3;0;0
set/17;20;30;10;-5;0;0
out/17;21;31;10;-4;0;0
nov/17;20;30;10;-5;0;0
dez/17;20;31;11;-7,5;0;0
jan/18;22;31;9;-0,5;0;0
fev/18;19;28;9;-3,5;0;0,210144928
mar/18;21;31;10;-4;0;-0,210144928
abr/18;21;30;9;-1,5;1;0
mai/18;21;31;10;-4;0;0
jun/18;21;30;9;-1,5;0;0
jul/18;22;31;9;-0,5;0;0
ago/18;23;31;8;3;0;0
set/18;19;30;11;-8,5;0;0
out/18;22;31;9;-0,5;0;0
nov/18;20;30;10;-5;0;0
dez/18;20;31;11;-7,5;0;0
jan/19;0;0;0;0;0;0
fev/19;0;0;0;0;0;-0,789855072
mar/19;0;0;0;0;0;0,789855072
abr/19;0;0;0;0;0;0
mai/19;0;0;0;0;0;0
jun/19;0;0;0;0;0;0
jul/19;0;0;0;0;0;0
ago/19;0;0;0;0;0;0
set/19;0;0;0;0;0;0
out/19;0;0;0;0;0;0
nov/19;0;0;0;0;0;0
dez/19;0;0;0;0;0;0
jan/20;0;0;0;0;0;0
fev/20;0;0;0;0;0;0,210144928
mar/20;0;0;0;0;0;-0,210144928
abr/20;0;0;0;0;0;0
mai/20;0;0;0;0;0;0
jun/20;0;0;0;0;0;0
jul/20;0;0;0;0;0;0
ago/20;0;0;0;0;0;0
set/20;0;0;0;0;0;0
out/20;0;0;0;0;0;0
nov/20;0;0;0;0;0;0
dez/20;0;0;0;0;0;0
jan/21;0;0;0;0;0;0
fev/21;0;0;0;0;0;0,210144928
mar/21;0;0;0;0;0;-0,210144928
abr/21;0;0;0;0;0;0
mai/21;0;0;0;0;0;0
jun/21;0;0;0;0;0;0
jul/21;0;0;0;0;0;0
ago/21;0;0;0;0;0;0
set/21;0;0;0;0;0;0
out/21;0;0;0;0;0;0
nov/21;0;0;0;0;0;0
dez/21;0;0;0;0;0;0
jan/22;0;0;0;0;0;0
fev/22;0;0;0;0;0;-0,065217391
mar/22;0;0;0;0;0;0,065217391
abr/22;0;0;0;0;0;0
mai/22;0;0;0;0;0;0
jun/22;0;0;0;0;0;0
jul/22;0;0;0;0;0;0
ago/22;0;0;0;0;0;0
set/22;0;0;0;0;0;0
out/22;0;0;0;0;0;0
nov/22;0;0;0;0;0;0
dez/22;0;0;0;0;0;0
jan/23;0;0;0;0;0;0
fev/23;0;0;0;0;0;0,210144928
mar/23;0;0;0;0;0;-0,210144928
abr/23;0;0;0;0;0;0
mai/23;0;0;0;0;0;0
jun/23;0;0;0;0;0;0
jul/23;0;0;0;0;0;0
ago/23;0;0;0;0;0;0
set/23;0;0;0;0;0;0
out/23;0;0;0;0;0;0
nov/23;0;0;0;0;0;0
dez/23;0;0;0;0;0;0
